关卡,蓝球,红球,绿球,黄球,紫球,总行数,石头,雪块,炸弹,彩虹球,燃烧瓶,蓝分裂球,红分裂球,绿分裂球,黄分裂球,紫分裂球,钥匙,锁定球,收集目标1,收集目标2,发射球数量,通关率
27,12,6,9,9,0,8,2,2,1,1,0,0,0,0,0,0,0,0,9,雪球:2,25,97.0%
28,7,7,9,10,0,8,2,2,1,1,0,0,0,0,0,0,0,0,R:4,雪球:2,24,97.0%
29,7,11,10,5,0,8,3,2,1,1,0,0,0,0,0,0,0,0,8,雪球:2,26,97.0%
30,10,7,9,6,0,8,3,2,1,2,0,0,0,0,0,0,0,0,8,雪球:2,25,97.0%
31,6,8,11,7,0,8,3,2,1,2,0,0,0,0,0,0,0,0,8,雪球:2,25,97.0%
32,6,7,11,8,0,8,3,2,2,2,0,0,0,0,0,0,0,0,R:4,雪球:2,24,97.0%
33,6,6,8,6,0,8,3,2,2,2,0,0,0,0,0,0,0,0,7,雪球:2,25,97.0%
34,7,7,10,2,0,8,4,2,2,2,0,0,0,0,0,0,0,0,7,雪球:2,25,97.0%
35,7,5,8,6,0,8,4,2,2,2,0,0,0,0,0,0,0,0,7,雪球:2,25,97.0%
36,9,5,8,3,0,8,4,2,2,2,0,0,0,0,0,0,0,0,R:4,雪球:2,25,97.0%
37,5,9,7,4,0,8,4,2,3,2,0,0,0,0,0,0,0,0,7,雪球:2,25,97.0%
38,8,4,9,2,0,8,5,2,3,3,0,0,0,0,0,0,0,0,6,雪球:2,25,97.0%
39,2,4,6,5,0,8,6,2,3,3,0,0,0,0,0,0,0,0,5,雪球:2,25,97.0%
40,1,4,2,2,0,8,6,2,5,4,0,0,0,0,0,0,0,0,R:4,雪球:2,24,97.0%
41,15,20,16,16,0,8,0,1,0,0,1,0,0,0,0,0,0,0,17,雪球:1,26,88.0%
42,16,14,18,18,0,8,0,1,1,0,1,0,0,0,0,0,0,0,17,雪球:1,26,93.2%
43,15,17,22,23,0,9,0,1,0,0,1,0,0,0,0,0,0,0,19,雪球:1,27,85.1%
44,19,18,18,22,0,9,0,1,0,0,1,0,0,0,0,0,0,0,R:7,雪球:1,25,97.0%
45,20,20,18,17,0,9,1,1,0,1,1,0,0,0,0,0,0,0,19,雪球:1,27,90.1%
46,17,18,21,21,0,9,0,1,0,0,1,0,0,0,0,0,0,0,19,雪球:1,27,85.1%
47,22,19,18,18,0,9,0,1,0,0,1,0,0,0,0,0,0,0,19,雪球:1,27,85.1%
48,19,17,18,23,0,9,0,1,0,0,1,0,0,0,0,0,0,0,R:6,雪球:1,24,97.0%
49,9,10,30,27,0,9,0,1,1,0,1,0,0,0,0,0,0,0,19,雪球:1,27,90.8%
50,21,14,17,24,0,9,1,1,0,0,1,0,0,0,0,0,0,0,19,雪球:1,28,87.2%
51,23,18,18,18,0,9,0,1,0,0,1,0,0,0,0,0,0,0,19,雪球:1,27,85.2%
52,18,18,19,22,0,9,0,1,0,0,1,0,0,0,0,0,0,0,R:7,雪球:1,25,97.0%
53,16,16,23,22,0,9,0,1,0,0,1,0,0,0,0,0,0,0,19,雪球:1,27,85.2%
54,18,18,18,22,0,9,0,1,0,1,1,0,0,0,0,0,0,0,19,雪球:1,27,92.0%
55,20,19,19,17,0,9,1,1,0,0,2,0,0,0,0,0,0,0,19,雪球:1,28,86.0%
56,17,18,21,18,0,9,0,2,1,0,2,0,0,0,0,0,0,0,R:7,雪球:2,26,97.0%
57,19,22,17,18,0,9,0,1,0,0,2,0,0,0,0,0,0,0,19,雪球:1,28,88.1%
58,17,20,23,16,0,9,0,1,0,0,2,0,0,0,0,0,0,0,19,雪球:1,28,88.1%
59,9,10,27,30,0,9,0,1,0,0,2,0,0,0,0,0,0,0,19,雪球:1,28,88.1%
60,14,22,23,16,0,9,1,1,0,0,2,0,0,0,0,0,0,0,R:8,雪球:1,26,97.0%
61,18,23,18,18,0,9,0,1,0,0,0,0,0,1,0,0,0,0,G:10,雪球:1,25,92.2%
62,18,18,19,22,0,9,0,1,0,0,0,1,0,0,0,0,0,0,B:10,雪球:1,25,92.2%
63,16,17,22,20,0,9,0,1,1,1,0,0,0,0,1,0,0,0,Y:10,雪球:1,24,97.0%
64,18,17,21,21,0,9,0,1,0,0,0,0,1,0,0,0,0,0,R:9,雪球:1,25,95.7%
65,19,22,17,18,0,9,1,1,0,0,0,0,0,1,0,0,0,0,G:9,雪球:1,25,94.3%
66,19,18,22,18,0,9,0,1,0,0,0,1,0,0,0,0,0,0,B:10,雪球:1,25,92.9%
67,22,19,18,18,0,9,0,1,0,0,0,0,0,0,1,0,0,0,Y:10,雪球:1,25,92.2%
68,20,16,18,23,0,9,0,1,0,0,0,0,1,0,0,0,0,0,R:9,雪球:1,25,95.2%
69,10,10,27,30,0,9,0,1,0,0,0,0,0,1,0,0,0,0,G:13,雪球:1,26,86.4%
70,22,15,17,21,0,9,1,1,1,0,0,1,0,0,0,0,0,0,B:11,雪球:1,25,93.2%
71,23,18,18,18,0,9,0,1,0,0,0,0,0,0,1,0,0,0,Y:10,雪球:1,25,92.2%
72,17,18,19,22,0,9,0,1,0,1,0,0,1,0,0,0,0,0,R:10,雪球:1,25,97.0%
73,17,16,22,22,0,9,0,1,0,0,0,0,0,1,0,0,0,0,G:11,雪球:1,25,89.9%
74,18,18,22,19,0,9,0,1,0,0,0,1,0,0,0,0,0,0,B:10,雪球:1,25,92.2%
75,9,20,15,24,8,9,1,1,0,0,0,0,1,0,0,0,0,0,R:10,雪球:1,26,94.5%
76,8,19,21,12,17,9,0,1,0,0,0,0,0,1,0,0,0,0,G:11,雪球:1,25,89.2%
77,9,20,18,19,10,9,0,1,1,0,0,1,0,0,0,0,0,0,B:7,雪球:1,24,97.0%
78,9,22,16,11,19,9,0,1,0,0,0,0,0,0,1,0,0,0,Y:7,雪球:1,24,97.0%
79,17,23,11,11,15,9,0,1,0,0,0,0,0,0,0,1,0,0,P:9,雪球:1,25,94.6%
80,10,23,13,21,9,9,1,1,0,0,0,0,1,0,0,0,0,0,R:11,雪球:1,26,92.0%
81,20,12,14,10,19,9,0,1,0,1,0,0,0,0,0,0,1,1,19,雪球:1,28,94.2%
82,17,22,9,20,8,9,0,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,88.8%
83,10,18,17,9,22,9,0,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,88.8%
84,20,17,19,9,9,9,0,2,1,0,0,0,0,0,0,0,1,1,P:4,雪球:2,25,97.0%
85,9,20,15,23,8,9,1,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,86.8%
86,9,18,20,12,17,9,0,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,88.8%
87,8,22,18,18,10,9,0,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,88.8%
88,8,20,17,12,19,9,0,1,0,0,0,0,0,0,0,0,1,1,Y:5,雪球:1,25,97.0%
89,15,18,14,10,19,9,0,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,88.8%
90,9,22,11,22,10,9,1,1,0,1,0,0,0,0,0,0,1,1,19,雪球:1,28,92.8%
91,20,12,14,10,19,9,0,1,1,0,0,0,0,0,0,0,1,1,19,雪球:1,28,93.3%
92,20,22,9,17,8,9,0,1,0,0,0,0,0,0,0,0,1,1,B:7,雪球:1,25,97.0%
93,10,18,17,9,22,9,0,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,88.8%
94,18,17,22,9,10,9,0,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,88.8%
95,9,19,15,24,8,9,1,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,86.8%
96,9,18,20,12,17,9,0,1,0,0,0,0,0,0,0,0,1,1,G:7,雪球:1,25,97.0%
97,9,22,18,17,10,9,0,1,0,0,0,0,0,0,0,0,1,1,19,雪球:1,28,88.8%
98,9,20,15,12,19,9,0,1,1,0,0,0,0,0,0,0,1,1,19,雪球:1,28,93.3%
99,14,23,11,11,16,9,0,1,0,1,0,0,0,0,0,0,1,1,19,雪球:1,28,94.2%
100,11,22,10,22,10,9,1,1,0,0,0,0,0,0,0,0,1,1,R:8,雪球:1,26,97.0%
101,19,13,14,10,19,9,0,1,0,0,2,0,0,1,0,0,0,0,G:8,雪球:1,25,96.2%
102,17,22,9,19,8,9,0,1,0,0,2,1,0,0,0,0,0,0,B:9,雪球:1,26,96.3%
103,10,19,17,9,20,9,0,1,0,0,2,0,0,0,1,0,0,0,Y:7,雪球:1,25,96.3%
104,19,15,22,9,10,9,0,1,0,0,2,0,0,0,0,1,0,0,P:7,雪球:1,25,97.0%
105,9,19,15,22,8,9,1,1,1,0,2,0,1,0,0,0,0,0,R:10,雪球:1,26,96.1%
106,9,18,22,10,16,9,0,1,0,0,2,0,0,1,0,0,0,0,G:11,雪球:1,26,91.4%
107,8,22,19,16,10,9,0,1,0,0,2,1,0,0,0,0,0,0,B:6,雪球:1,25,97.0%
108,7,21,16,12,18,9,0,1,0,1,2,0,0,0,1,0,0,0,Y:8,雪球:1,25,97.0%
109,16,17,14,10,18,9,0,1,0,0,2,0,0,0,0,1,0,0,P:10,雪球:1,26,93.4%
110,10,20,11,22,11,9,1,1,0,0,2,0,1,0,0,0,0,0,R:10,雪球:1,26,92.8%
111,20,12,14,9,20,9,0,1,0,0,2,0,0,1,0,0,0,0,G:8,雪球:1,26,97.0%
112,18,20,8,19,8,9,0,2,1,0,2,1,0,0,0,0,0,0,B:10,雪球:2,27,95.5%
113,11,20,15,9,20,9,0,1,0,0,2,0,0,0,1,0,0,0,Y:7,雪球:1,25,96.4%
114,18,17,22,8,10,9,0,1,0,0,2,0,0,0,0,1,0,0,P:7,雪球:1,25,97.0%
115,10,20,13,22,9,9,1,1,0,0,2,0,1,0,0,0,0,0,R:10,雪球:1,26,92.9%
116,8,18,20,12,17,9,0,1,0,0,2,0,0,1,0,0,0,0,G:10,雪球:1,26,94.4%
117,9,17,19,19,10,9,0,1,0,1,2,1,0,0,0,0,0,0,B:7,雪球:1,25,97.0%
118,9,20,15,11,20,9,0,1,0,0,2,0,0,0,1,0,0,0,Y:7,雪球:1,25,97.0%
119,18,22,10,10,14,9,0,1,1,0,2,0,0,0,0,1,0,0,P:8,雪球:1,25,97.0%
120,11,23,10,19,10,9,1,1,0,0,2,0,2,0,0,0,0,0,R:15,雪球:1,28,72.4%
121,18,12,15,10,19,9,0,1,0,0,2,0,0,2,0,0,0,0,G:12,雪球:1,26,73.6%
122,19,20,9,18,8,9,0,1,0,0,2,2,0,0,0,0,0,0,B:13,雪球:1,27,78.7%
123,10,17,17,8,22,9,0,1,0,0,2,0,0,0,2,0,0,0,Y:9,雪球:1,26,82.2%
124,18,15,22,9,10,9,0,1,0,0,2,0,0,0,0,2,0,0,P:10,雪球:1,26,79.3%
125,10,19,15,21,8,9,1,1,0,0,2,0,2,0,0,0,0,0,R:13,雪球:1,27,76.0%
126,9,18,22,11,20,10,0,1,1,1,2,0,0,2,0,0,0,0,G:14,雪球:1,27,89.1%
127,10,22,21,19,10,10,0,1,0,0,2,2,0,0,0,0,0,0,B:10,雪球:1,26,78.2%
128,9,23,17,13,20,10,0,1,0,0,2,0,0,0,2,0,0,0,Y:11,雪球:1,27,82.7%
129,16,17,16,12,21,10,0,1,0,0,2,0,0,0,0,2,0,0,P:14,雪球:1,27,72.8%
130,11,26,14,19,11,10,1,1,0,0,2,0,2,0,0,0,0,0,R:16,雪球:1,28,67.9%
131,21,13,18,9,21,10,0,1,0,0,2,0,0,2,0,0,0,0,G:13,雪球:1,27,76.0%
132,21,23,10,19,9,10,0,1,0,0,2,2,0,0,0,0,0,0,B:14,雪球:1,27,72.8%
133,12,21,17,9,22,10,0,1,1,0,2,0,0,0,2,0,0,0,Y:10,雪球:1,26,81.8%
134,21,19,21,9,12,10,0,1,0,0,2,0,0,0,0,2,0,0,P:11,雪球:1,27,80.3%
135,10,18,16,26,10,10,1,1,0,1,2,0,2,0,0,0,0,0,R:13,雪球:1,27,82.2%
136,9,21,22,13,17,10,0,1,0,0,2,0,0,2,0,0,0,0,G:14,雪球:1,27,74.3%
137,9,23,21,18,11,10,0,1,0,0,2,2,0,0,0,0,0,0,B:10,雪球:1,26,74.3%
138,9,22,18,11,22,10,0,1,0,0,2,0,0,0,2,0,0,0,Y:10,雪球:1,26,81.3%
139,19,23,11,11,18,10,0,1,0,0,2,0,0,0,0,2,0,0,P:13,雪球:1,27,76.1%
140,12,24,11,21,11,10,1,2,1,0,2,0,2,0,0,0,0,0,R:15,雪球:2,29,78.0%
141,22,12,15,11,22,10,0,1,0,0,0,0,0,2,0,0,1,1,G:12,雪球:1,27,79.5%
142,21,23,9,20,9,10,0,1,0,0,0,2,0,0,0,0,1,1,B:14,雪球:1,27,73.7%
143,10,18,20,10,24,10,0,1,0,0,0,0,0,0,2,0,1,1,Y:10,雪球:1,27,84.4%
144,20,19,22,9,11,10,0,1,0,1,0,0,0,0,0,2,1,1,P:10,雪球:1,26,90.1%
145,10,22,17,23,9,10,1,1,0,0,0,0,2,0,0,0,1,1,R:14,雪球:1,28,78.2%
146,10,20,22,12,18,10,0,1,0,0,0,0,0,2,0,0,1,1,G:14,雪球:1,27,75.2%
147,9,22,21,19,10,10,0,1,1,0,0,2,0,0,0,0,1,1,B:10,雪球:1,26,82.7%
148,10,22,19,13,18,10,0,1,0,0,0,0,0,0,2,0,1,1,Y:11,雪球:1,27,83.5%
149,16,17,16,12,21,10,0,1,0,0,0,0,0,0,0,2,1,1,P:14,雪球:1,27,73.8%
150,10,24,13,22,12,10,1,1,0,0,0,0,2,0,0,0,1,1,R:15,雪球:1,28,73.6%
151,22,13,15,11,21,10,0,1,0,0,0,0,0,2,0,0,1,1,G:12,雪球:1,27,79.5%
152,22,24,9,19,8,10,0,1,0,0,0,2,0,0,0,0,1,1,B:14,雪球:1,27,75.2%
153,11,20,17,10,23,10,0,1,0,1,0,0,0,0,2,0,1,1,Y:10,雪球:1,26,87.7%
154,20,19,23,9,10,10,0,1,1,0,0,0,0,0,0,2,1,1,P:10,雪球:1,26,86.2%
155,10,21,14,27,9,10,1,1,0,0,0,0,2,0,0,0,1,1,R:14,雪球:1,28,77.0%
156,10,20,20,13,19,10,0,1,0,0,0,0,0,2,0,0,1,1,G:14,雪球:1,28,78.1%
157,9,23,20,19,11,10,0,1,0,0,0,2,0,0,0,0,1,1,B:10,雪球:1,27,81.1%
158,9,22,17,12,22,10,0,1,0,0,0,0,0,0,2,0,1,1,Y:11,雪球:1,27,81.2%
159,18,24,12,12,16,10,0,1,0,0,0,0,0,0,0,2,1,1,P:12,雪球:1,27,81.5%
160,11,22,13,22,11,10,1,1,0,0,0,0,2,0,0,0,2,2,R:14,雪球:1,29,81.4%
161,19,14,16,10,20,10,0,1,1,0,0,0,0,2,0,0,2,2,G:12,雪球:1,28,89.8%
162,22,22,9,18,8,10,0,1,0,1,0,2,0,0,0,0,2,2,B:14,雪球:1,28,86.6%
163,11,19,17,10,23,10,0,1,0,0,0,0,0,0,2,0,2,2,Y:10,雪球:1,27,82.5%
164,21,17,22,8,12,10,0,1,0,0,0,0,0,0,0,2,2,2,P:11,雪球:1,28,84.2%
165,10,18,16,26,9,10,1,1,0,0,0,0,2,0,0,0,2,2,R:13,雪球:1,29,82.8%
166,9,19,21,13,18,10,0,1,0,0,0,0,0,2,0,0,2,2,G:14,雪球:1,28,77.5%
167,10,23,21,17,9,10,0,1,0,0,0,2,0,0,0,0,2,2,B:10,雪球:1,27,82.6%
168,8,22,14,12,22,10,0,2,1,0,0,0,0,0,2,0,2,2,Y:11,雪球:2,28,83.9%
169,14,20,16,10,20,10,0,1,0,0,0,0,0,0,0,2,2,2,P:14,雪球:1,28,76.1%
170,9,24,13,22,11,10,1,1,0,0,0,0,2,0,0,0,2,2,R:15,雪球:1,29,77.2%
171,19,13,17,9,21,10,0,1,0,1,0,0,0,2,0,0,2,2,G:13,雪球:1,28,86.5%
172,21,23,10,19,7,10,0,1,0,0,0,2,0,0,0,0,2,2,B:14,雪球:1,28,77.6%
173,10,22,17,10,21,10,0,1,0,0,0,0,0,0,2,0,2,2,Y:10,雪球:1,28,87.1%
174,20,18,22,9,11,10,0,1,0,0,0,0,0,0,0,2,2,2,P:10,雪球:1,28,89.2%
175,9,18,16,26,9,10,1,1,1,0,0,0,2,0,0,0,2,2,R:13,雪球:1,28,84.4%
176,9,19,22,12,18,10,0,1,0,0,0,0,0,2,0,0,2,2,G:14,雪球:1,28,78.9%
177,10,22,22,17,9,10,0,1,0,0,0,2,0,0,0,0,2,2,B:10,雪球:1,28,87.1%
178,9,22,14,13,22,10,0,1,0,0,0,0,0,0,2,0,2,2,Y:11,雪球:1,28,86.3%
179,20,23,11,14,12,10,0,1,0,0,0,0,0,0,0,2,2,2,P:11,雪球:1,28,84.2%
180,10,24,12,22,10,10,1,1,0,1,0,0,2,0,0,0,2,2,R:15,雪球:1,29,84.9%
181,20,12,16,11,19,10,0,1,0,0,2,0,0,2,0,0,2,2,G:12,雪球:1,29,86.2%
182,17,24,7,22,7,10,0,1,1,0,2,2,0,0,0,0,2,2,B:13,雪球:1,29,86.8%
183,12,18,20,8,20,10,0,1,0,0,2,0,0,0,2,0,2,2,Y:9,雪球:1,28,87.0%
184,21,17,21,8,11,10,0,1,0,0,2,0,0,0,0,2,2,2,P:10,雪球:1,28,87.1%
185,11,21,17,21,7,10,1,1,0,0,2,0,2,0,0,0,2,2,R:14,雪球:1,30,82.4%
186,9,18,22,12,17,10,0,1,0,0,2,0,0,2,0,0,2,2,G:14,雪球:1,29,81.2%
187,9,19,22,18,10,10,0,1,0,0,2,2,0,0,0,0,2,2,B:10,雪球:1,28,81.6%
188,9,22,18,13,16,10,0,1,0,0,2,0,0,0,2,0,2,2,Y:11,雪球:1,29,87.9%
189,14,18,12,12,20,10,0,1,1,1,2,0,0,0,0,2,2,2,P:14,雪球:1,29,91.0%
190,10,23,13,21,10,10,1,1,0,0,2,0,2,0,0,0,2,2,R:15,雪球:1,30,78.5%
191,21,13,14,9,21,10,0,1,0,0,2,0,0,2,0,0,2,2,G:11,雪球:1,29,89.4%
192,21,22,8,18,9,10,0,1,0,0,2,2,0,0,0,0,2,2,B:14,雪球:1,29,80.1%
193,12,19,17,9,21,10,0,1,0,0,2,0,0,0,2,0,2,2,Y:10,雪球:1,28,81.6%
194,18,19,23,9,9,10,0,1,0,0,2,0,0,0,0,2,2,2,P:10,雪球:1,28,81.6%
195,10,23,14,23,7,10,1,1,0,0,2,0,2,0,0,0,2,2,R:15,雪球:1,30,78.6%
196,9,18,20,12,17,10,0,2,1,0,2,0,0,2,0,0,2,2,G:14,雪球:2,30,83.1%
197,8,22,17,20,11,10,0,1,0,0,2,2,0,0,0,0,2,2,B:9,雪球:1,28,87.0%
198,8,20,18,12,19,10,0,1,0,1,2,0,0,0,2,0,2,2,Y:11,雪球:1,28,88.9%
199,18,23,9,11,17,10,0,1,0,0,2,0,0,0,0,2,2,2,P:13,雪球:1,29,81.2%
200,13,22,9,22,11,10,1,1,0,0,2,0,2,0,0,0,2,2,R:14,雪球:1,30,83.5%
201,21,14,17,11,19,10,1,1,1,0,2,0,0,0,0,0,0,0,21,雪球:1,29,89.2%
202,21,22,9,21,9,10,1,1,1,0,2,0,0,0,0,0,0,0,21,雪球:1,29,89.2%
203,12,18,20,10,22,10,1,1,1,0,2,0,0,0,0,0,0,0,21,雪球:1,29,89.2%
204,21,17,23,9,12,10,1,1,1,0,2,0,0,0,0,0,0,0,P:5,雪球:1,26,97.0%
205,11,21,18,23,9,10,1,1,1,0,2,0,0,0,0,0,0,0,21,雪球:1,29,89.2%
206,10,19,22,13,18,10,1,1,1,0,2,0,0,0,0,0,0,0,21,雪球:1,29,89.2%
207,10,19,22,21,9,10,1,1,1,1,2,0,0,0,0,0,0,0,21,雪球:1,29,94.2%
208,8,23,17,13,21,10,1,1,1,0,2,0,0,0,0,0,0,0,Y:5,雪球:1,26,97.0%
209,15,19,14,12,22,10,1,1,1,0,2,0,0,0,0,0,0,0,21,雪球:1,29,89.2%
210,12,27,15,24,12,11,1,2,1,0,2,0,0,0,0,0,0,0,23,雪球:2,31,85.3%
211,23,16,18,10,24,11,1,1,1,0,2,0,0,0,0,0,0,0,23,雪球:1,30,86.9%
212,23,26,10,21,10,11,1,2,1,0,2,0,0,0,0,0,0,0,B:9,雪球:2,28,97.0%
213,13,24,21,10,23,11,1,1,1,0,2,0,0,0,0,0,0,0,23,雪球:1,30,86.9%
214,23,21,25,11,11,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,30,84.2%
215,11,21,19,30,10,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,30,84.2%
216,9,20,26,15,19,11,1,2,1,1,2,0,0,0,0,0,0,0,G:10,雪球:2,28,97.0%
217,10,26,23,19,12,11,1,2,1,0,2,0,0,0,0,0,0,0,23,雪球:2,31,85.4%
218,11,24,20,12,24,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,30,84.3%
219,22,26,11,15,17,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,30,84.3%
220,14,28,13,23,12,11,1,2,1,0,2,0,0,0,0,0,0,0,R:11,雪球:2,28,96.2%
221,22,16,18,12,23,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,30,84.3%
222,21,26,10,24,10,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,30,84.3%
223,12,23,22,11,23,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,30,84.3%
224,23,20,26,9,12,11,1,2,1,0,2,0,0,0,0,0,0,0,P:5,雪球:2,27,97.0%
225,11,25,17,28,9,11,1,1,1,1,2,0,0,0,0,0,0,0,23,雪球:1,30,92.4%
226,11,21,27,11,21,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
227,9,24,23,23,12,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
228,9,26,20,15,20,11,1,2,1,0,2,0,0,0,0,0,0,0,Y:6,雪球:2,27,97.0%
229,20,19,17,13,22,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
230,10,26,16,26,13,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
231,24,15,17,10,24,11,1,2,1,0,2,0,0,0,0,0,0,0,23,雪球:2,31,85.4%
232,24,24,10,22,10,11,1,2,1,0,2,0,0,0,0,0,0,0,B:9,雪球:2,28,97.0%
233,13,25,17,11,25,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
234,22,20,26,10,12,11,1,1,1,1,2,0,0,0,0,0,0,0,23,雪球:1,30,92.4%
235,12,23,16,30,10,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
236,9,21,24,15,21,11,1,2,1,0,2,0,0,0,0,0,0,0,G:9,雪球:2,28,97.0%
237,10,24,22,23,12,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
238,10,24,20,12,24,11,1,2,1,0,2,0,0,0,0,0,0,0,23,雪球:2,31,85.4%
239,22,27,12,13,17,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
240,14,27,13,24,12,11,1,2,1,0,2,0,0,0,0,0,0,0,R:10,雪球:2,28,97.0%
241,22,16,19,12,22,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
242,21,27,11,23,9,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
243,13,20,22,11,24,11,1,1,1,1,2,0,0,0,0,0,0,0,23,雪球:1,30,92.4%
244,23,19,26,9,13,11,1,2,1,0,2,0,0,0,0,0,0,0,P:5,雪球:2,27,97.0%
245,12,23,19,26,10,11,1,2,1,0,2,0,0,0,0,0,0,0,23,雪球:2,31,85.5%
246,11,21,24,15,20,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,87.9%
247,11,23,23,23,11,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,88.0%
248,8,25,19,15,23,11,1,2,1,0,2,0,0,0,0,0,0,0,Y:6,雪球:2,28,97.0%
249,18,21,17,12,23,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,88.0%
250,12,28,16,23,12,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,88.0%
251,23,16,18,10,24,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,88.0%
252,23,26,11,20,9,11,1,2,1,1,2,0,0,0,0,0,0,0,B:9,雪球:2,28,97.0%
253,13,25,20,11,22,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,88.0%
254,25,21,21,11,13,11,1,1,1,0,2,0,0,0,0,0,0,0,24,雪球:1,31,88.0%
