关卡,蓝球,红球,绿球,黄球,紫球,橙球,黑球,白球,总行数,石头,雪块,炸弹,彩虹球,燃烧瓶,蓝分裂球,红分裂球,绿分裂球,黄分裂球,紫分裂球,钥匙,锁定球,收集目标1,收集目标2,发射球数量,通关率,漩涡球,藤蔓精灵,虫洞对,黑洞,地雷,繁殖球,花苞球,精灵茧,透明球,晶光炮,风眼出口,毒液附着,冰凌附着,气泡护盾附着,蜘蛛,彩云,多精灵救援目标,彩虹棱镜球,关卡类型,玩法模式,单精灵救援,限时球,棋盘遮挡
26,16,0,15,24,15,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,Y:24,雪球:5,13,70.8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,none
27,16,0,17,17,26,0,0,0,11,0,6,0,1,0,0,0,0,0,0,0,0,P:26,雪球:6,25,66.8%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,none
28,29,0,18,19,18,0,0,0,12,1,6,0,0,0,0,0,0,0,0,0,0,B:29,雪球:6,23,61.8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,none
29,17,0,26,17,17,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,G:26,雪球:6,18,56.8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,none
30,19,0,20,30,20,0,0,0,13,1,7,1,1,0,0,0,0,0,0,0,0,Y:30,雪球:7,17,50.8%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special_floating_island,timed_infinite_shots,-,4,none
31,26,16,0,16,17,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,B:26,雪球:8,11,90.2%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
32,18,28,0,18,18,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,R:28,雪球:9,11,86.2%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
33,19,19,0,30,20,0,0,0,13,1,10,0,0,0,0,0,0,0,0,0,0,Y:30,雪球:10,20,82.2%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
34,18,18,0,18,28,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,P:28,雪球:9,20,78.2%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
35,33,21,0,21,21,0,0,0,14,0,10,1,0,0,0,0,0,0,0,0,0,B:33,雪球:10,22,74.2%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
36,16,16,26,0,17,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,G:26,雪球:8,23,70.2%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
37,18,18,18,0,28,0,0,0,12,0,9,0,1,0,0,0,0,0,0,0,0,P:28,雪球:9,12,66.2%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
38,30,19,20,0,19,0,0,0,13,1,10,0,0,0,0,0,0,0,0,0,0,B:30,雪球:10,25,61.2%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
39,18,28,17,0,18,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,R:28,雪球:9,16,56.2%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
40,21,21,32,0,20,0,0,0,14,1,10,1,0,0,0,0,0,0,0,0,0,G:32,雪球:10,25,50.2%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special_floating_island,timed_infinite_shots,-,5,per_attempt_no_repeat
41,0,0,16,26,16,17,0,0,11,0,8,0,0,1,0,0,0,0,0,0,0,Y:26,雪球:8,20,89.6%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
42,0,0,18,18,27,17,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,P:27,雪球:9,31,85.6%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trapped_sprite_rescue,shot_limited,lumi,0,none
43,0,0,30,19,19,19,0,0,13,0,10,0,1,1,0,0,0,0,0,0,0,G:30,雪球:10,19,81.6%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
44,0,0,18,28,18,18,0,0,12,0,9,0,0,1,0,0,0,0,0,0,0,Y:28,雪球:9,13,77.6%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
45,0,0,21,20,32,20,0,0,14,1,10,1,1,2,0,0,0,0,0,0,0,P:32,雪球:10,11,73.6%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
46,18,0,0,27,17,18,0,0,12,0,9,0,0,1,0,0,0,0,0,0,0,Y:27,雪球:9,13,69.6%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
47,20,0,0,19,30,19,0,0,13,0,10,1,0,1,0,0,0,0,0,0,0,P:30,雪球:10,19,65.6%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
48,32,0,0,21,21,20,0,0,14,0,10,0,0,2,0,0,0,0,0,0,0,B:32,雪球:10,12,60.6%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
49,19,0,0,30,19,19,0,0,13,0,10,0,0,2,0,0,0,0,0,0,0,Y:30,雪球:10,13,55.6%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
50,23,0,0,22,34,22,0,0,15,0,11,0,0,2,0,0,0,0,0,0,0,P:34,雪球:11,15,49.6%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special_floating_island,timed_infinite_shots,-,2,per_attempt_no_repeat
51,18,28,0,0,18,18,0,0,12,0,9,0,0,1,0,0,0,0,0,0,0,R:28,雪球:9,11,89.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
52,20,19,0,0,30,19,0,0,13,0,10,0,0,1,0,0,0,0,0,0,0,P:30,雪球:10,15,85.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
53,32,21,0,0,20,20,0,0,14,0,10,0,1,1,0,0,0,0,0,0,0,B:32,雪球:10,18,81.0%,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
54,19,30,0,0,19,19,0,0,13,0,10,0,0,1,0,0,0,0,0,0,0,R:30,雪球:10,20,77.0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
55,23,22,0,0,35,22,0,0,15,1,11,0,0,1,0,0,0,0,0,0,0,P:35,雪球:11,18,73.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
56,17,27,18,0,0,18,0,0,12,0,9,0,0,1,0,0,0,0,0,0,0,R:27,雪球:9,19,69.0%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
57,19,19,30,0,0,20,0,0,13,0,10,1,0,1,0,0,0,0,0,0,0,G:30,雪球:10,17,65.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
58,32,21,21,0,0,21,0,0,14,0,10,0,0,2,0,0,0,0,0,0,0,B:32,雪球:10,13,60.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
59,18,29,19,0,0,19,0,0,13,0,10,0,0,2,0,0,0,0,0,0,0,R:29,雪球:10,28,55.0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
60,22,21,33,0,0,22,0,0,15,1,11,1,0,2,0,0,0,0,0,0,0,G:33,雪球:11,25,49.0%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special_floating_island,timed_infinite_shots,-,3,per_attempt_no_repeat
61,0,0,0,27,17,18,18,0,12,0,11,0,0,0,0,0,0,1,0,0,0,Y:32,雪球:11,25,88.4%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
62,0,0,0,19,30,19,19,0,13,0,12,0,0,0,0,0,0,0,1,0,0,P:35,雪球:12,14,84.4%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
63,0,0,0,26,17,16,16,0,14,0,13,0,1,0,0,0,0,0,0,0,0,Y:26,雪球:13,31,80.4%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trapped_sprite_rescue,shot_limited,noya,0,none
64,0,0,0,21,34,22,22,0,15,0,14,0,0,0,0,0,0,0,1,0,0,P:39,雪球:14,20,76.4%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
65,0,0,0,32,20,20,21,0,14,1,13,0,0,0,0,0,0,1,0,0,0,Y:37,雪球:13,16,72.4%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
66,27,0,0,0,18,17,17,0,12,0,11,0,0,0,1,0,0,0,0,0,0,B:32,雪球:11,17,68.4%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
67,19,0,0,0,30,19,19,0,13,0,12,1,0,0,0,0,0,0,1,0,0,P:35,雪球:12,15,64.4%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
68,32,0,0,0,21,20,21,0,14,0,13,0,0,0,1,0,0,0,0,0,0,B:37,雪球:13,25,59.4%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
69,21,0,0,0,33,22,22,0,15,0,14,0,0,0,0,0,0,0,1,0,0,P:38,雪球:14,18,54.4%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
70,31,0,0,0,19,20,20,0,14,0,13,0,0,1,1,0,0,0,0,0,0,B:36,雪球:13,26,48.4%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special_floating_island,timed_infinite_shots,-,4,per_attempt_no_repeat
71,27,18,0,0,0,18,17,0,12,0,11,0,0,0,1,0,0,0,0,0,0,B:32,雪球:11,16,87.8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
72,19,30,0,0,0,19,19,0,13,0,12,0,0,0,0,1,0,0,0,0,0,R:35,雪球:12,19,83.8%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
73,31,20,0,0,0,20,21,0,14,0,13,0,1,0,1,0,0,0,0,0,0,B:36,雪球:13,29,79.8%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
74,22,34,0,0,0,22,21,0,15,0,14,0,0,0,0,1,0,0,0,0,0,R:39,雪球:14,18,75.8%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
75,16,32,0,0,15,15,15,0,14,1,13,0,0,0,0,1,0,0,0,0,0,R:37,雪球:13,25,71.8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
76,27,13,13,0,0,13,13,0,12,0,11,0,0,0,1,0,0,0,0,0,0,B:32,雪球:11,24,67.8%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
77,14,30,14,0,0,14,15,0,13,0,12,1,0,0,0,1,0,0,0,0,0,R:35,雪球:12,15,63.8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
78,16,16,32,0,0,15,15,0,14,0,13,0,0,0,0,0,1,0,0,0,0,G:37,雪球:13,28,58.8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
79,33,16,17,0,0,16,16,0,15,0,14,0,0,0,1,0,0,0,0,0,0,B:38,雪球:14,20,53.8%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
80,15,30,14,0,0,15,15,0,14,0,13,0,1,1,0,1,0,0,0,0,0,R:35,雪球:13,26,47.8%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special_floating_island,timed_infinite_shots,-,5,per_attempt_no_repeat
81,0,0,0,28,13,14,13,13,13,0,12,0,0,0,0,0,0,0,0,1,9,Y:28,雪球:12,25,87.2%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
82,0,0,0,14,29,14,15,14,14,0,13,0,0,0,0,0,0,0,0,1,10,P:29,雪球:13,20,83.2%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
83,0,0,0,31,15,15,15,16,15,0,14,0,1,0,0,0,0,0,0,1,10,Y:31,雪球:14,32,79.2%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
84,0,0,0,14,29,14,14,14,14,0,13,0,0,0,0,0,0,0,0,1,10,P:29,雪球:13,20,75.2%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
85,0,0,0,32,15,16,15,15,15,1,14,0,0,0,0,0,0,0,0,1,10,Y:32,雪球:14,22,71.2%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
86,26,0,0,0,12,12,13,13,13,0,12,0,0,0,0,0,0,0,0,0,0,B:26,雪球:12,31,67.2%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trapped_sprite_rescue,shot_limited,flora,0,none
87,14,0,0,0,29,14,14,13,14,0,13,1,0,0,0,0,0,0,0,1,10,P:29,雪球:13,25,63.2%,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
88,31,0,0,0,15,15,15,15,15,0,14,0,0,0,0,0,0,0,0,1,10,B:31,雪球:14,33,58.2%,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
89,13,0,0,0,28,13,14,14,14,0,13,0,0,0,0,0,0,0,0,1,10,P:28,雪球:13,21,53.2%,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
90,28,0,0,0,13,13,14,13,15,0,14,0,0,0,1,0,0,0,0,2,20,B:33,雪球:14,26,47.2%,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special_floating_island,timed_infinite_shots,-,2,per_attempt_no_repeat
91,28,14,0,0,0,13,13,13,13,0,12,0,0,0,0,0,0,0,0,1,9,B:28,雪球:12,20,86.6%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
92,14,29,0,0,0,15,14,14,14,0,13,0,0,0,0,0,0,0,0,1,10,R:29,雪球:13,35,82.6%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
93,31,15,0,0,0,15,16,15,15,0,14,0,1,0,0,0,0,0,0,1,10,B:31,雪球:14,22,78.6%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
94,14,29,0,0,0,14,14,14,14,0,13,0,0,0,0,0,0,0,0,1,10,R:29,雪球:13,22,74.6%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
95,32,16,0,0,0,15,15,15,15,1,14,0,0,0,0,0,0,0,0,1,10,B:32,雪球:14,24,70.6%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
96,13,13,27,0,0,0,14,13,13,0,12,0,0,0,0,0,0,0,0,1,9,G:27,雪球:12,36,66.6%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
97,29,14,14,0,0,0,13,14,14,0,13,1,0,0,0,0,0,0,0,1,10,B:29,雪球:13,20,62.6%,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
98,15,31,15,0,0,0,15,15,15,0,14,0,0,0,0,0,0,0,0,1,10,R:31,雪球:14,20,57.6%,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
99,12,12,25,0,0,0,12,12,14,0,13,0,0,0,0,0,0,0,0,0,0,G:25,雪球:13,34,52.6%,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,trapped_sprite_rescue,shot_limited,loco,0,none
100,28,14,13,0,0,0,14,14,15,0,14,0,0,0,1,0,0,0,0,2,20,B:33,雪球:14,24,46.6%,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special_floating_island,timed_infinite_shots,-,3,per_attempt_no_repeat
101,38,16,15,15,0,0,0,15,15,0,16,0,0,1,0,0,0,0,0,0,0,B:38,雪球:16,20,78.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
102,15,37,16,15,0,0,0,15,15,0,16,0,0,1,0,0,0,0,0,0,0,R:37,雪球:16,28,76.2%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
103,15,15,37,16,0,0,0,15,15,0,16,0,0,1,0,0,0,0,0,0,0,G:37,雪球:16,18,74.4%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
104,15,15,15,37,0,0,0,15,15,0,16,0,0,1,0,0,0,1,0,0,0,Y:42,雪球:16,18,72.6%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
105,38,16,15,15,0,0,0,15,15,0,16,0,0,1,0,0,0,0,0,0,0,B:38,雪球:16,18,70.8%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
106,37,15,15,15,15,0,0,0,15,0,16,0,0,2,0,0,0,0,0,0,0,B:37,雪球:16,20,69.0%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
107,15,36,15,15,15,0,0,0,15,0,16,1,0,2,0,0,0,0,0,0,0,R:36,雪球:16,18,67.2%,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
108,15,15,36,15,15,0,0,0,15,0,16,0,0,2,0,0,1,0,0,0,0,G:41,雪球:16,18,65.4%,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
109,14,15,15,36,14,0,0,0,15,0,16,0,0,2,0,0,0,0,0,0,0,Y:36,雪球:16,27,63.6%,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
110,14,14,15,15,36,0,0,0,15,0,16,0,0,2,0,0,0,0,1,0,0,P:41,雪球:16,22,61.8%,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special_floating_island,timed_infinite_shots,-,4,per_attempt_no_repeat
111,0,15,15,38,15,16,0,0,15,0,16,0,0,1,0,0,0,0,0,0,0,Y:38,雪球:16,23,78.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
112,0,16,15,15,37,15,0,0,15,0,16,0,0,1,0,0,0,0,0,0,0,P:37,雪球:16,20,76.2%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,shot_limited,-,0,per_attempt_no_repeat
